"","N","N_pos","mid_age","name"
"370",9,7,17,"Rantepao, IND [50]"
"371",1,0,18,"Rantepao, IND [50]"
"372",4,2,1,"Medan Denai, IND [50]"
"373",4,0,2,"Medan Denai, IND [50]"
"374",4,2,3,"Medan Denai, IND [50]"
"375",10,6,4,"Medan Denai, IND [50]"
"376",8,5,5,"Medan Denai, IND [50]"
"377",8,4,6,"Medan Denai, IND [50]"
"378",4,4,7,"Medan Denai, IND [50]"
"379",3,2,8,"Medan Denai, IND [50]"
"380",7,7,9,"Medan Denai, IND [50]"
"381",7,6,10,"Medan Denai, IND [50]"
"382",3,2,11,"Medan Denai, IND [50]"
"383",8,7,12,"Medan Denai, IND [50]"
"384",6,5,13,"Medan Denai, IND [50]"
"385",4,4,14,"Medan Denai, IND [50]"
"386",9,7,15,"Medan Denai, IND [50]"
"387",11,11,16,"Medan Denai, IND [50]"
"388",6,6,17,"Medan Denai, IND [50]"
"389",1,1,18,"Medan Denai, IND [50]"
"390",5,2,1,"Kendari, IND [50]"
"391",3,2,2,"Kendari, IND [50]"
"392",7,5,3,"Kendari, IND [50]"
"393",6,5,4,"Kendari, IND [50]"
"394",10,8,5,"Kendari, IND [50]"
"395",6,4,6,"Kendari, IND [50]"
"396",5,4,7,"Kendari, IND [50]"
"397",3,3,8,"Kendari, IND [50]"
"398",6,6,9,"Kendari, IND [50]"
"399",5,5,10,"Kendari, IND [50]"
"400",9,9,11,"Kendari, IND [50]"
"401",5,5,12,"Kendari, IND [50]"
"402",8,7,13,"Kendari, IND [50]"
"403",3,3,14,"Kendari, IND [50]"
"404",11,11,15,"Kendari, IND [50]"
"405",6,6,16,"Kendari, IND [50]"
"406",5,5,17,"Kendari, IND [50]"
"407",4,4,18,"Kendari, IND [50]"
"408",2,0,1,"Pauh, IND [50]"
"409",7,2,2,"Pauh, IND [50]"
"410",6,2,3,"Pauh, IND [50]"
"411",8,4,4,"Pauh, IND [50]"
"412",8,6,5,"Pauh, IND [50]"
"413",8,8,6,"Pauh, IND [50]"
"414",4,4,7,"Pauh, IND [50]"
"415",7,6,8,"Pauh, IND [50]"
"416",2,1,9,"Pauh, IND [50]"
"417",6,5,10,"Pauh, IND [50]"
"418",6,4,11,"Pauh, IND [50]"
"419",4,3,12,"Pauh, IND [50]"
"420",4,3,13,"Pauh, IND [50]"
"421",9,7,14,"Pauh, IND [50]"
"422",9,6,15,"Pauh, IND [50]"
"423",9,9,16,"Pauh, IND [50]"
"424",6,6,17,"Pauh, IND [50]"
"425",1,1,18,"Pauh, IND [50]"
"426",3,1,1,"Bungo Dani, IND [50]"
"427",6,1,2,"Bungo Dani, IND [50]"
"428",8,3,3,"Bungo Dani, IND [50]"
"429",8,4,4,"Bungo Dani, IND [50]"
"430",7,4,5,"Bungo Dani, IND [50]"
"431",10,6,6,"Bungo Dani, IND [50]"
"432",3,3,7,"Bungo Dani, IND [50]"
"433",1,1,8,"Bungo Dani, IND [50]"
"434",7,7,9,"Bungo Dani, IND [50]"
"435",6,5,10,"Bungo Dani, IND [50]"
"436",5,5,11,"Bungo Dani, IND [50]"
"437",7,7,12,"Bungo Dani, IND [50]"
"438",5,5,13,"Bungo Dani, IND [50]"
"439",5,5,14,"Bungo Dani, IND [50]"
"440",12,11,15,"Bungo Dani, IND [50]"
"441",9,9,16,"Bungo Dani, IND [50]"
"442",5,5,17,"Bungo Dani, IND [50]"
"443",2,0,1,"Kalianda, IND [50]"
"444",5,0,2,"Kalianda, IND [50]"
"445",9,0,3,"Kalianda, IND [50]"
"446",7,2,4,"Kalianda, IND [50]"
"447",6,2,5,"Kalianda, IND [50]"
"448",2,1,6,"Kalianda, IND [50]"
"449",7,3,7,"Kalianda, IND [50]"
"450",6,3,8,"Kalianda, IND [50]"
"451",8,3,9,"Kalianda, IND [50]"
"452",2,2,10,"Kalianda, IND [50]"
"453",6,3,11,"Kalianda, IND [50]"
"454",6,4,12,"Kalianda, IND [50]"
"455",7,4,13,"Kalianda, IND [50]"
"456",10,7,14,"Kalianda, IND [50]"
"457",8,5,15,"Kalianda, IND [50]"
"458",7,5,16,"Kalianda, IND [50]"
"459",4,2,17,"Kalianda, IND [50]"
"460",3,3,18,"Kalianda, IND [50]"
"461",2,2,1,"Cikupa, IND [50]"
"462",5,4,2,"Cikupa, IND [50]"
"463",8,8,3,"Cikupa, IND [50]"
"464",10,6,4,"Cikupa, IND [50]"
"465",3,2,5,"Cikupa, IND [50]"
